Issue Type,Summary,Description,Epic Link,Sprint,Priority,Story Points,Labels,Assignee(Responsavel)
Epic,LingoBoard,Dashboard BI (Streamlit/Pandas).,,,,,epic lingo,
Epic,VocabDeck,Flashcards web (repeticao espacada - Leitner).,,,,,epic vocab,
Epic,EduLanding,Template de landing page educacional.,,,,,epic edu,
Epic,BabelUX,Consultoria de redesign UX/UI (Figma).,,,,,epic babelux,
Epic,IntegraSchool,Automacao de rotinas administrativas (Python).,,,,,epic integra,
Epic,Plataforma e Site,"Site institucional, identidade e deploy.",,,,,epic plat,
Epic,Documento e Anexos,"18 secoes, ERD, fluxograma, organograma, Gantt, mockups.",,,,,epic docs,
Epic,Entrega e Apresentacoes,Decks e apresentacoes 24/07 e 31/07.,,,,,epic entrega,
História,Criar ERD PostgreSQL (Secao 16),[S1-1] ERD com 6 entidades exportado e referenciado na Secao 16. (Criterio de aceite). Pts 3 [estimativa]. Responsavel: Roger.,Documento e Anexos,Sprint 1,High,3,docs sprint-1 p0 dono-roger status-concluido,Roger
História,"Criar fluxograma de atendimento (Bizagi, Secao 10)",[S1-2] Fluxo de atendimento ponta-a-ponta exportado e inserido na Secao 10. (Criterio de aceite). Pts 3 [estimativa]. Responsavel: Raquel.,Documento e Anexos,Sprint 1,High,3,docs sprint-1 p0 dono-raquel status-concluido,Raquel
História,"Criar organograma (Draw.io, Secao 5)",[S1-3] Organograma da dupla exportado e inserido na Secao 5. (Criterio de aceite). Pts 2 [estimativa]. Responsavel: Raquel.,Documento e Anexos,Sprint 1,High,2,docs sprint-1 p0 dono-raquel status-concluido,Raquel
História,Esqueleto do site no ar (estrutura + navegacao),"[S1-4] Paginas (home, portfolio, contato) navegaveis com os tokens de identidade. (Criterio de aceite). Pts 3 [estimativa]. Responsavel: Roger.",Plataforma e Site,Sprint 1,High,3,plat sprint-1 p0 dono-roger status-concluido,Roger
Tarefa,Revisar secoes 9-16,[S1-5] Texto coerente com os produtos e ADRs. (Criterio de aceite). Pts 3 [estimativa]. Responsavel: Raquel.,Documento e Anexos,Sprint 1,Medium,3,docs sprint-1 p1 dono-raquel status-concluido,Raquel
Tarefa,Preparar CSV de exemplo derivado do ERD,"[S2-1] CSV (alunos, turmas, notas, presencas) consistente com o ERD. (Criterio de aceite). Pts 2 [estimativa]. Responsavel: Roger.",LingoBoard,Sprint 2,High,2,lingo sprint-2 p0 dono-roger status-concluido,Roger
História,LingoBoard MVP: upload CSV + 4 graficos + tabela de risco,[S2-2] Sobe CSV e renderiza >=4 graficos + ranking de risco sem erro. (Criterio de aceite). Pts 5 [estimativa]. Responsavel: Roger.,LingoBoard,Sprint 2,High,5,lingo sprint-2 p0 dono-roger status-concluido,Roger
História,VocabDeck MVP: CRUD de cards + motor Leitner + localStorage,"[S2-3] Cria baralho, estuda, 'acertei/errei' reagenda; progresso persiste. (Criterio de aceite). Pts 5 [estimativa]. Responsavel: Roger.",VocabDeck,Sprint 2,High,5,vocab sprint-2 p0 dono-roger status-concluido,Roger
Tarefa,Layout responsivo + tokens de identidade,[S2-4] Funciona em desktop e mobile com a identidade BabelStack. (Criterio de aceite). Pts 2 [estimativa]. Responsavel: Raquel.,VocabDeck,Sprint 2,Medium,2,vocab sprint-2 p1 dono-raquel status-concluido,Raquel
História,Publicar site (GitHub Pages) com portfolio,[S2-5] Site acessivel por URL publica com os 5 produtos listados. (Criterio de aceite). Pts 3 [estimativa]. Responsavel: Roger.,Plataforma e Site,Sprint 2,High,3,plat sprint-2 p0 dono-roger status-concluido,Roger
Tarefa,LingoBoard: limiares de risco ajustaveis (sidebar),"[S2-6] Indicador de risco com limiares configuraveis via sidebar (sliders), default media < 6.0 / faltas > 8, com filtros por turma e avaliacao. (Criterio de aceite). Pts 2 [estimativa]. Responsavel: Roger.",LingoBoard,Sprint 2,Medium,2,lingo sprint-2 p1 dono-roger status-concluido,Roger
História,"EduLanding: template + exemplo 'Feira Cultural de Idiomas'",[S3-1] Template responsivo com pontos editaveis + exemplo preenchido. (Criterio de aceite). Pts 3 [estimativa]. Responsavel: Raquel.,EduLanding,Sprint 3,High,3,edu sprint-3 p0 dono-raquel status-a-fazer,Raquel
História,IntegraSchool: automacao em modo simulacao (CSV),"[S3-2] Le CSV, gera resumos/lembretes em arquivo + organiza pastas + log. (Criterio de aceite). Pts 5 [estimativa]. Responsavel: Roger.",IntegraSchool,Sprint 3,High,5,integra sprint-3 p0 dono-roger status-concluido,Roger
História,Diagnostico heuristico da interface-alvo,[S3-3] >=5 problemas com severidade e principio violado. (Criterio de aceite). Pts 2 [estimativa]. Responsavel: Raquel.,BabelUX,Sprint 3,High,2,babelux sprint-3 p0 dono-raquel status-a-fazer,Raquel
História,Prototipo 'Antes/Depois' no Figma (2 telas),[S3-4] 2 telas redesenhadas com tokens + comparativo exportado. (Criterio de aceite). Pts 3 [estimativa]. Responsavel: Raquel.,BabelUX,Sprint 3,High,3,babelux sprint-3 p0 dono-raquel status-a-fazer,Raquel
Tarefa,Gerar Gantt do cronograma (Secao 18),[S3-5] Gantt com datas reais exportado e inserido na Secao 18. (Criterio de aceite). Pts 2 [estimativa]. Responsavel: Roger.,Documento e Anexos,Sprint 3,High,2,docs sprint-3 p0 dono-roger status-a-fazer,Roger
Tarefa,Criar redes sociais (opcional),[S3-6] Perfil criado com a identidade (se houver tempo). (Criterio de aceite). Pts 1 [estimativa]. Responsavel: Raquel.,Plataforma e Site,Sprint 3,Low,1,plat sprint-3 p2 dono-raquel status-a-fazer,Raquel
Tarefa,Capturar mockups/prints dos produtos e site (Secao 8/9),[S4-1] Imagens inseridas nas secoes 8 e 9. (Criterio de aceite). Pts 2 [estimativa]. Responsavel: Raquel.,Documento e Anexos,Sprint 4,High,2,docs sprint-4 p0 dono-raquel,Raquel
História,Montar documento 20+ paginas com anexos (regenerar .docx),"[S4-2] .docx final com 18 secoes + anexos, >=20 paginas. (Criterio de aceite). Pts 3 [estimativa]. Responsavel: Roger.",Documento e Anexos,Sprint 4,High,3,docs sprint-4 p0 dono-roger,Roger
Tarefa,Inserir logo na capa do .docx,[S4-3] Capa com o logo oficial. (Criterio de aceite). Pts 1 [estimativa]. Responsavel: Roger.,Documento e Anexos,Sprint 4,Medium,1,docs sprint-4 p1 dono-roger,Roger
História,Montar deck de apresentacao,[S4-4] Deck cobrindo os 18 itens + demo dos produtos. (Criterio de aceite). Pts 3 [estimativa]. Responsavel: Raquel.,Entrega e Apresentacoes,Sprint 4,High,3,entrega sprint-4 p0 dono-raquel,Raquel
História,Ensaio + 1a apresentacao (24/07),[S4-5] Apresentacao realizada na data. (Criterio de aceite). Pts 2 [estimativa]. Responsavel: Dupla.,Entrega e Apresentacoes,Sprint 4,High,2,entrega sprint-4 p0 dono-dupla,Dupla
História,Aplicar correcoes pos-feedback da banca,[S5-1] Itens apontados na 1a apresentacao corrigidos. (Criterio de aceite). Pts 3 [estimativa]. Responsavel: Dupla.,Entrega e Apresentacoes,Sprint 5,High,3,entrega sprint-5 p0 dono-dupla,Dupla
Tarefa,Revisao final do documento + regenerar .docx,"[S5-2] Versao final validada (skill docx, PYTHONUTF8=1). (Criterio de aceite). Pts 2 [estimativa]. Responsavel: Roger.",Documento e Anexos,Sprint 5,High,2,docs sprint-5 p0 dono-roger,Roger
História,Apresentacao final (31/07),[S5-3] Apresentacao final realizada. (Criterio de aceite). Pts 2 [estimativa]. Responsavel: Dupla.,Entrega e Apresentacoes,Sprint 5,High,2,entrega sprint-5 p0 dono-dupla,Dupla
